"Oblast podpory","Rok dotačního titulu","Číslo žádosti","Název projektu","Popis a způsob realizace akce/projektu","Stav žádosti","Celkové náklady","Celková požadovaná dotace celkem v roce 2018","Proplacená dotace (Kč)","Podíl celkové požadované dotace k celkovým nákladům"
"Činnosti nebo aktivity v oblasti sportu a tělovýchovy","2018","FHT/PHT/033347/2018","Dětské rybářské závody O pohár předsedy SÚS","Otevřené rybářské závody dětí do 18. let. Závodit mohou děti organizované i neorganizované v ČRS. Předpokládaná účast - sto závodících dětí, zejména ze Středočeského kraje.","schváleno RK","85000","40000","30000","47.05882353"
"Činnosti nebo aktivity v oblasti výchovy a vzdělávání","2018","FHT/PHT/033359/2018","Tennis Arena Kids Tour 2018","Dobrý den,, , naše společnost Tennis Arena již pátým rokem pořádá největší a nejprestižnější sérii tenisových turnajů pro děti do 12ti let. Tímto projektem se snažíme podpořit talentovanou mládež v jejich krocích za vysněnými cíli, ukázat jim svět tenisový profesionálů, kterými se sami chtějí jednou stát, umožnit jim srovnání se zahraničím a zjistit, jak na tom opravdu se svou výkonností jsou. , Chtěli bychom Vás požádat o podporu této velké akce, která má tradici, která trvá déle než šest měsíců, které se účastní přes více než 1000 hráčů plus jejich doprovodu a kterou skrze svou nadaci podporuje a aktivně se se na ni podílí naše současná tenisová jednička Tomáš Berdych. Turnaje se konají v několika městech středočeského kraje jako například Mělník, Rakovník, Dobříš, Zruč nad Sázavou. Součástí turnajů jsou i přednášky pro rodiče dětí hlavně v otázkách  zvládání stresů, motivace a slušného chování během sportování. Velmi děkuji za případnou podporu, S pozdravem, Martin Holiš, ","schváleno RK","460000","80000","60000","17.39130435"
"Činnosti nebo aktivity v oblasti sportu a tělovýchovy","2018","FHT/PHT/033360/2018","HESU meeting Zuzany Hejnové","V roce 2018  budeme dělat 2. ročník HESU meetingu Zuzany Hejnové, akce se uskuteční 14.9.2018 na atletickém stadionu v Kutné Hoře. Hlavním hostem bude dvojnásobná mistryně světa Zuzana Hejnová. Soutěž je koncipována tak, že se zúčastní členové akademie Zuzany Hejnové a zároveň budou závody otevřené pro všechny mládežnické kategorie. V rámci soutěže proběhnou dvě nebo tři disciplíny pro dospělé za účasti našich předních reprezentantů a v letošním roce bychom chtěli pozvat i některé atlety ze zahraničí. Pak budou jednotlivé atletické disciplíny v mládežnických kategoriích a pro nejmladší účastníky je připravena soutěž o nejvšestrannějšího sportovce. Cílem je spojení nejmladších dětí s profesionálními sportovci a tím podpořit motivaci dětí k atletice. V loňském roce měla akce obrovský úspěch a v letošním roce bychom chtěli přilákat ještě větší množství dětí, diváků a profesionálních sportovců jak z České republiky tak i ze zahraničí. Rádi bychom, aby se akce stala každoroční tradicí.","schváleno RK","546000","200000","200000","36.63003663"
"Činnosti nebo aktivity v oblasti výchovy a vzdělávání","2018","FHT/PHT/033361/2018","20. výročí SOŠ a SOU Neratovice","SOŠ a SOU Neratovice vznikla k 1. 9. 1998 splynutím 3 škol na okrese Mělník. Historie původních škol sahá do padesátých let minulého století. Právě letos si připomínáme 20. výročí existence nové školy. Od jejího vzniku si škola prošla změnami nejenom oborovými, ale i personálními, modernizovalo se vybavení pro jednotlivé obory vzdělání a v neposlední řadě se postupně opravily budovy a zázemí školy. V současné době lze školu zařadit mezi stabilní vzdělávací instituce v regionu., Samotná oslava 20. výročí založení školy bude rozložena do 3 dnů. 1. den oslav proběhne na úrovni školy formou mezitřídních soutěží, např. ve sportovních disciplínách nebo odborných dovednostech., Ve 2. dni se uskuteční celostátní kadeřnická soutěž, jejíchž součástí budou 2 témata se speciálním zaměřením.  , Vyvrcholením programu bude samotná oslava školy, která se bude konat 17.5.2018. Tato akce se bude skládat z několika částí. Nejdříve proběhne kulturní program, kde se budou prezentovat jednotlivé obory vzdělání se svými výstupy, např. obor vzdělání kadeřník předvede společenské účesy formou módní přehlídky, obor vzdělání kuchař číšník  zajistí barmanskou show,  součástí budou i pěvecká, taneční a sportovní vystoupení. Do programu budou začleněny i zdravice představitelů školy, města a zřizovatele. Rovněž budou odměněni zasloužilí pracovníci školy. , Po kulturním programu bude následovat organizovaná prohlídka školy. V prostorách školy proběhne prezentace  jednotlivých oborů vzdělání, např. budou k vidění ukázky balení zboží, práce na diagnostickém zařízení u opravy automobilů, ukázky činností technických oborů vzdělání v dílnách OV, ukázky účesů, práce na PC apod. Ve všech prostorách školy bude na nástěnkách a panalech znázorněna činnost školy po dobu 20 let. Pro pamětníky budou připraveny kroniky školy. , V průběhu jednotlivých částí  bude k dispozici občerstvení formou studeného rautu s míchanými nápoji., Vzhledem k tomu, že se škola nachází na dvou místech v Neratovicích, bude přistaven autobus na přepravu hostů do druhé budovy. Zde opět proběhne prohlídka školy, domova mládeže a školní jídelny., Vyvrcholením akce bude raut ve školní jídelně, který připraví žáci oboru vzdělání kuchař číšník. Každý účastník dostane upomínkový předmět a ""Almanach SOŠ a SOU Neratovice""., Na akci se budou finančně podílet hlavně sponzoři a Spolek rodičů a přátel školy při SOŠ a SOU Neratovice., SOŠ a SOU Neratovice požádá paní hejtmanku Středočeského kraje Ing. Jaroslavu Pokornou Jermanovou o záštitu akce.","schváleno RK","120000","45000","30000","37.5"
"Činnosti nebo aktivity v oblasti kultury","2018","FHT/PHT/033363/2018","Rockový Slunovrat 2018","Festival Rockový Slunovrat se bude v roce 201 konat již podvanácté. Na třech pódiích si zahraje na třicet interpretů z české i zahraniční hudební scény. Hlavním benefitem festivalu je jeho lokalita, nezaměnitelného prostředí nejstaršího funkčního amfiteátru v Česku, Lesní divadlo v Řevnicích u Prahy. V roce 2018 se uskuteční také opět projekt ""Rockový Slunovrat Léčí"", letos po druhé v řadě. Hudbou bychom rádi pomohli lidem nemocným cystickou fibrózou. Spolupracujeme s Klubem nemocných cystickou fubrózou, který se snaží zlepšit kvalitu života slaných dětí a zvýšit informovanost veřejnosti o tomto onemocnění. Veškeré informace jsou v přiložené prezentaci festivalu.","schváleno RK","2801150","150000","50000","5.35494351"
"Činnosti nebo aktivity v oblasti výchovy a vzdělávání","2018","FHT/PHT/033366/2018","okresní  soutěž  mladých hasičů s názvem,, Mladý železný hasič ,,   a rozloučení s prázdninamí","v roce  2018 to bude již 6 ročník této soutěže  pro mladé hasiče na okrese Rakovník,  jedná se o soutěž jednotlivců mladých hasičů, rozdělených do jednotlivých kategorií.  3 - 6 let-Přípravka,  6 - 11 let kat. mladší,  11 - 15 let kat. starší  a 15 - 18 let  kat. dorost   rozdělené  na  dívky a hochy.  chceme letošním roce udělat soutěž přitažlivější,  zajímavější a pro dorostence náročnější,   1 úsek   překonání tunelu, 2 úsek překonání lávky s hasicí,  3 úsek překování  žebříkové stěny,  4 úsek  překonání úseku plížením,  5 úsek  překonání  bariéry,  6 úsek  přenos kanystrů na vzdálenost  5m,  7 úsek  překonání  kladiny,   8 úsek  zatloukání  hřebíků,   9 úsek  přenos hasicího přístroje ,  10 úsek  rozhození hadice od rozdělovače  napojení na rozdělovač a druhý konec hadice na proudnici  a doběhne s proudnicí do cíle.  disciplíny budou upraveny podle kategorií.  závěrem soutěže si trat zaběhnou  sami vedoucí.       odpledne proběhne pro děti zábavná soutěž z doprovodu rodičů ,  stříkání ze džberovky  na plechovky,  střelba z luku, házení s míčem na kuželky,  a na cíl,  chúze na chůdách,  střelba ze vzduchovky,  závody v pytlích, .  ukázky  požárního útoků  a disciplín.  Zajištění stravy,  pitný režim , medaile, ceny, PHM - doprava a stříkačka,  strava pro rozhodčí. pronájem  aparatury..   Jsme malá obec,  věříme, že nás podpoříte v naší činnosti s mládeží-  děkujeme   Kessler Josef  starosta SDH Senec a Marcela Miksová vedoucí MH.  ","schváleno RK","34500","32000","30000","92.75362319"
"Činnosti nebo aktivity v oblasti výchovy a vzdělávání","2018","FHT/PHT/033372/2018","Duševní a tělesné zdraví je důležité v každém věku.","Duševní a tělesné zdraví je důležité v každém věku., , 	Zájem obyvatel nymburského okresu o členskou organizaci SPCCH v ČR, z. s. stále přetrvává. Okresní organízace má téměř 900 členů z Lysé, Nymburska a Poděbradska. Noví členové tak nahrazují ty, kteří věkem či nemocí už nejsou mezi námi. VOO připisuje neustálý zájem tomu, že se nám daří rok od roku organizovat pro ně více akcí se zajímavými tématy. A to i díky příspěvkům ze státních dotací, které umožňují účastníkům se akcí účastňovat, i když jsou závislí jen na výši svých důchodů, 	Rok 2018, na který si dovoluje VOO  požádat o dotaci, je rokem dvou významných výročí. 100 let od vzniku republiky a 25 letům rozdělení ČSSR na Čechy a Slovensko., 	Chtěli bychom pro naše členy uskutečnit návštěvu různých akcí, kterém budou v průběhu roku pořádány jistě na mnoha místech obou republik. To letos pokládáme za prvořadý program., 	Chceme pro členy připravit jednodenní zájezdy, ale i školení, besedy, kulturní požitky a také připomenutí si histori naší vlasti z dávných i novějších časů. K těmto záměrům se řadí i vícedenní rekondiční pobyty, které připravujeme na různých místech s čistým životním prostředím. Žijeme v Polabské nížině, ve které se bohužel daří onemocnění horních cest dýchacích. Do jejich programů začleňujeme i kurzy paměti, besedy o zdravém životním stylu bez obezity, s koupáním, cvičením v solné jeskyni a řada dalších aktivit. Také chceme, aby se těchto akcí mohlo zúčastnit  co nejvíce naších členů a tak i v pokročilém věku byli aktivní tělem i duší., 	A  to je ten hlavní důvod, proč si dovolujeme požádat o peněžní příspěvek z Fondu hejtmana Středočeského kraje., 	Za pochopení předem děkuje , Výbor okresní organizace SPCCH v ČR, z. s. Nymburk","schváleno RK","162750","105000","50000","64.51612903"
"Činnosti nebo aktivity v oblasti sportu a tělovýchovy","2018","FHT/PHT/033373/2018","Mistrovství Evropy Supermoto 2018 - Pavel Kejmar","Materiální a technické zajištění účasti reprezentačního jezdce v seriálu závodů Mistrovství Evropy, Supermoto 2017 a reprezentace ČR a Středočeského kraje. Český reprezentant Pavel, Kejmar se s úspěchy účastnil i v závodech MS, ME a MČR v předešlých letech.","schváleno RK","400000","60000","30000","15"
"Činnosti nebo aktivity v oblasti kultury","2018","FHT/PHT/033374/2018","Hořínfest2018-zámecký festival","Jedná se o třetí ročník festivalu na zámku v Hoříně, a to formou vystoupení hudebních skupin, a tato akce si klade za cíl zvýšení vzájemnosti, pospolitosti, kultury a zejména spojení všech generací, a to hlavně skladbou hudebních skupin, aby oslovily širokou škálu generací a vrstev, včetně mladistvých, seniorů a handycapovaných, neboť na akci je zcela bezbariárový přístup.","schváleno RK","300000","60000","30000","20"
"Činnosti nebo aktivity v oblasti sportu a tělovýchovy","2018","FHT/PHT/033381/2018","oslavy 90 let založení SK Nižbor z.s.","v rámci oslav 90 let od založení fotbalu v Nižboru proběhne tradiční fotbalový turnaj Memoríál Ladislava Krabce , jehož již 50. ročník se uskuteční 18.8.2018 v areálu Za rybníky v Nižboru. Jeho součástí budou utkání žáků a přípravky  , výstava historie nižborského fotbalu , tombola o ceny,posezení s hudbou a další doprovodné akce. Dotaci bychom použili na organizační zajištění oslav, propagaci .výrobu upomínkových předmětů a suvenýrů.","schváleno RK","40000","25000","25000","62.5"
"Činnosti nebo aktivity v oblasti výchovy a vzdělávání","2018","FHT/PHT/033382/2018","Výměnný pobyt studentů GJO ve Wenlan Middle School, Huangzhou, Čína","Ve dnech 21. září až 1. října 2018 se skupina 20 studentů a 3 pedagogů, Gymnázia Jiřího Ortena bude účastnit výměnného pobytu ve Wenlan Middle School v, Huangzhou v Číně. Pobyt se uskuteční na základě memoranda podepsaného představiteli, Středočeského kraje a provincie Zheijang i obou partnerský škol. Vzhledem k nákladnosti akce, chce NF požádat o příspěvek., PŘEDBĚŽNÝ PROGRAM VÝMĚNNÉHO POBYTU WENLAN MIDDLE SCHOOL, HANGZHOU,, ČÍNA pátek 21. 9. 2018 13:35 odlet z Prahy do Pekingu sobota 22. 9. 2018 05:45 přílet do, Pekingu transfer do hotelu, uložení zavazadel prohlídka náměstí Tiananmen prohlídka, Zakázaného města s průvodcem prohlídka Chrámu nebes s průvodcem návrat do hotelu,, ubytování večer prohlídka večerního náměstí Tiananmen, ceremoniál stahování vlajky, možnost, návštěvy představení kung fu v Red Theatre neděle 23. 9. 2018 celodenní výlet na Velkou, čínskou zeď, v jeho rámci prohlídka Letního paláce a tradiční čínský oběd pondělí 24. 9. 2018 po, snídani a odhlášení z hotelu přesun na nádraží Peking – Jih cca 11:00 odjezd rychlovlakem z, Pekingu cca 17:00 příjezd do Hangzhou po příjezdu přesun do partnerské školy, přivítání,, ubytování úterý 25. 9. 2018 – pátek 28. 9. 2018 pobyt ve Wenlan Middle School, program, připraví hostitelská škola, bude obsahovat mj. společné sportovní a sociální aktivity s čínskými, studenty, účast na vyučování, prohlídky pamětihodností a přírodních krás Hangzhou a provincie, Zheijang. Součásti bude také celodenní výlet do Šanghaje s návštěvou druhé nejvyšší budovy světa Shanghai Tower., sobota 29. 9. 2018, pobyt v hostitelských rodinách, neděle 30. 9. 2018, cca 12:00 odjezd rychlovlakem z Huangzhou do Pekingu, transfer na letiště, pondělí 1. 10. 2018, 01:45 odlet z Pekingu do Prahy, 05:10 přílet do Prahy","schváleno RK","583600","200000","200000","34.27004798"
"Činnosti nebo aktivity v oblasti výchovy a vzdělávání","2018","FHT/PHT/033383/2018","Prevence a ochrana chodců","Vzdělávací přednáška JUDr. Václava Rejmana o rizikách, ale i bezpečnosti chodců, jejich prevence a způsobilost., Cílem přednášky je osvěta chodcům, jako účastníků silničního provozu. Během přednášky si účastníci dozvědí o větší ochraně a viditelnosti chodce na pozemních komunikacích, ale také o nejčastějších pochybeních chodců.","schváleno RK","7000","5000","5000","71.42857143"
"Činnosti nebo aktivity v oblasti sportu a tělovýchovy","2018","FHT/PHT/033385/2018","30.štafeta Kladno-LIDICE-Včelákov-LEŽÁKY","V letošním roce se uskuteční již 30.jubilejní ročník štafetového běhu, který připomíná tragédii i hrdinství našich lidí v průběhu 2.světové války. Štafeta která má velký společenský i mediální ohlas, probíhá každoročně pod záštitou prezidenta republiky, hejtmanů jednotlivých krajů i dalších osobností. Je zaměřena hlavně na mladou generaci, ale i na nejširší veřejnost. Štafety se účastní běžci z celé ČR a v jednotlivých městech a obcích přebírají stuhy na štafetový kolík, který bude položen v letošním roce na zahájení pietního aktu v Ležákách. Štafeta odstartuje po slavnostním zahájení od gymnázia v Kladně před sochou lidické ženy, kde se naposledy společně viděly lidické ženy se svými dětmi. Před doběhem štafety do Ležáků je její zastávka i před školou ve Včelákově, kam chodily ležácké děti. Navazování závěrečných stuh před vlastním pietním aktem v Ležákách se účastní ještě mnoho významných osobností.","schváleno RK","80000","16000","16000","20"
"Činnosti nebo aktivity v oblasti výchovy a vzdělávání","2018","FHT/PHT/033386/2018","Podpora a aktivit činnosti Československé  obce legionářské Kladno","Členskou základnu tvoří převážně váleční veteráni, pozůstalí, novodobí veteráni a sympatizanti. Jednota ČsOL Kladno má 85 členů. Převážná většina je mezi 88 až 96 lety. Peníze z dotace by významně usnadnily činnost spolku. , 1. VIII. ročník střelecké soutěže na počest válečné veteránky Vandy Biněvské u příležitosti 100. výročí vzniku republiky (pronájem střelnice, terče, náboje, diplomy, doprava, pamětní listy a občerstvení) 30 000,-, 2. Výstava ke 100. výročí vzniku republiky (pohlednice, příležitostní razítko, pamětní listy, pozvánky) 10 000,, 3. Dárky k životním výročím, pro dlouhodobě nemocné a hospitalizované členy - 20 000,-, 4. Zájezd do vojenského muzea na demarkační linii v Rokycanech - 25 000,-, 5. Provoz spolku (telefon, barvy do tiskárny, papíry, kancelářské potřeby, poštovné, čestná uznání) - 40 000,-, 6. Zdravotní balíčky pro válečné veterány a pozůstalé u příležitosti Dne válečných veteránů - 15 000,-, 7. Nákup legionářské literatury 5 000,- , 8. Příspěvek na pedikúru, masáže, ortopedické pomůcky - 20 000,-, 9. VII. společenské odpoledne ke Dni válečných veteránů (pronájem, hudba, tombola a občerstvení) - 20 000,-, 10. kytice, věnce a svíčky 5 000,-     ","schváleno RK","200000","190000","70000","95"
"Činnosti nebo aktivity v oblasti kultury","2018","FHT/PHT/033390/2018","Oslavy  založení hasičského sboru v obci  ZBEČNO   -  140 let  založení..","Založení hasičského sboru v obci  Zbečno,  oprava zbrojnice,  Dovoz  stanu, lavic, a stolů,  zajištění  obědů a pitného režimu,  PHM - doprava, PHM - stříkačka na ukázky soutěí  dospělých a dětí,  hudba,  tisk  brožurek  ke  140  výročí založení,  uspořádání výstavy o historii sboru, Upomínkové předměty a  skleničky , vlaječky,  vyhodnocení  členů  medaile a balíčky,  pozvánky a tisk  materiálů, ","schváleno RK","43000","40000","40000","93.02325581"
"Činnosti nebo aktivity v oblasti kultury","2018","FHT/PHT/033392/2018","Kutnohorský víkend","Kutnohorský víkend 2018 je celoprázdninový festival zaměřený na oblast cestovní ruchu a kultury,  pořádaný se zájmem města Kutné Hory. Festival je zaměřený především na české turisty, nabízí večerní možnost kulturního vyžití pod širým nebem a tím přispívá k tomu, aby zde turisté pobyli delší čas, jde tedy jednoznačně o akce městu prospěšnou. Pro rok 2018 Kutnohorský víkend nabízí tyto produkce: Limonádový Joe aneb pocta Květě Fialové, Drakula, unikátní večerní procházky městem s názvem Kutná Hora Nestoudná, vystoupení šermířských, hudebních a tanečních skupin. Na 11.8.2018 připravujeme 1 ročník Klášterfestu, kde chceme oslovit i národnostní menšiny žijící v Čechách, s vystoupením oblíbené skupiny Gipsy c.z., s ukázkami dětských romských tanečních souborů,s doprovodným programem z nadace Dítě a kůň a nadace Archa. Všechny produkce se budou střídat tak, aby se turista nejen pobavil ale i poučil a aby se turista Kutné Hory rád vracel, jde tedy o spojení kultury a cestovního ruchu. Součástí nabízeného programu jsou i prohlídky města s odborným výkladem s fundovaným průvodcem.Finanční výpomoc - dar, bude použit na částečnou úhradu honorářů účinkujícím. Jména všech sponzorů budou uváděna ve všech médiích ať v tištěné či internetové formě.","schváleno RK","300000","50000","30000","16.66666667"
"Činnosti nebo aktivity v oblasti kultury","2018","FHT/PHT/033410/2018","III. Romský festival Mladá Boleslav ","Romský festival, Mladá Boleslav - Krásná louka , , Jmenuji se Ernest Dančo. Je mi 34 let a jsem z Mladé Boleslavi. Od dětství se věnuji hudbě. Aktuálně jsem členem rodinné kapely „Ernest Dančo Band. Dlouhá léta jsem působil ve velmi populární kapele Gipsy Kubo. Díky hudební kariéře a popularitě můžu už 13. let pořádat romské akce pro děti a dospělé, např.: Romské talentové soutěže a mikulášské besídky pro děti v Benátkách nad Jizerou a v Mladé Boleslavi, plesy, festivaly a charitativní akce ve stejných městech. Základním principem a cílem je vytvořit pro děti, jejich rodiče a veřejnost kulturní akce, kde se mohou potkávat a navzájem se poznávat. Jde mi o to, vytvářet ve středočeských městech kvalitní bezkonfliktní prostředí. Podobných příležitostí totiž v kraji moc není a jedině společenská setkání mohou výrazně pomoci lepšímu soužiti. Většinu těchto akci se snažím financovat z vlastních zdrojů a s pomocí dobrovolníků. To je ale často velmi složité.,             V loni 17. 6. 2017 jsem díky pomoci Středočeského kraje a dobrovolných dárců, zorganizoval II. Romský festival. Konal se v Mladé Boleslavi na Krásné louce. Dohromady na oba ročníky přišlo téměř 5000 lidí. ,              Letos opět se na akci podílí i redaktor a moderátor České televize Richard Samko. Rom, který už 18 let pracuje ve veřejnoprávním mediu a je důkazem věrohodnosti.  , Aby akce dostala punc vážnosti a prestiže, chci tímto poprosit o záštitu hejtmanky Středočeského kraje Jaroslavy Pokorné Jermanové. Navíc bych byl velmi vděčný a tímto chci opět poprosit i o finanční podporu. Na tuto akci mají děti do 15 let vstup zdarma.  , , III. Romský festival, Mladá Boleslav - Krásná louka, 16. 6. 2018 , , Letošní ročník bychom chtěli rozšířit. V prvé řadě chceme do města přilákat zvučnější jména romských i neromských interpretů. Plánujeme oslovit: Jana Bandiga, Markétu Konvičkovou,  Rytmuse – Patrika Vrbovského a Daru Rolinc.  Zároveň chceme rozšířit doprovodné akce: zejména dětské atrakce, soutěže a dílny. Prezentace a ochutnávka tradičních romských tradičních jídel. Zásadní je přiblížit majoritní společnosti romskou muziku, jídlo, zvyky a tradice. , , ","schváleno RK","470000","200000","80000","42.55319149"
