"Oblast podpory","Rok dotačního titulu","Číslo žádosti","Název projektu","Popis a způsob realizace akce/projektu","Stav žádosti","Celkové náklady","Celková požadovaná dotace celkem v roce 2018","","Podíl celkové požadované dotace k celkovým nákladům"
"Činnosti nebo aktivity v oblasti výchovy a vzdělávání","2018","FHT/PHT/035349/2018","Talent a krása mládí","Letos již po osmnácté realizujeme projekt pro mladé lidi a to sloučením dvou celoročních aktivit v oblasti modeligu a pěveckého talentu. vyvrcholení je vždy v dubnu, kdy se realizuje finále tohoto projektu pod názvem Tvář roku ČR doplněný mladými dětskými talenty v oblasti zpěvu. Odborná porota pak vybere vítěze -tj. Tvář roku ČR a ocení i mladé interprety.","neschváleno RK","100000","50000","","50"
"Činnosti nebo aktivity v oblasti kultury","2018","FHT/PHT/035352/2018","Městské slavnosti 2018","Projekt bude realizován jako jednodenní tak, aby zprostředkoval maximální průřez kulturních zážitků pro občany Zdic v celém věkovém spektru a zpřístupnil je i pro méně silné příjmové skupiny. Připraveno je několik vystoupení místních umělců, hudebních skupin, program pro děti (písničkový pořad, tvoření), vystoupení čtyř známých osobností z oblasti kultury a dvou hudebních skupin. Celá akce bude realizována na zdické pěší zóně, která je dobře dostupná pro účastníky každého věku.","neschváleno RK","277500","80000","","28.82882883"
"Činnosti nebo aktivity v oblasti výchovy a vzdělávání","2018","FHT/PHT/035364/2018","100 let mezi Vltavou a Sázavou - k výročí ČSR","100 let mezi Vltavou a Sázavou , Věnováno 28. říjnu 2018 – vzniku Československé republiky a uctění historie regionu mezi Vltavou a Sázavou. , Příležitostná obrazová publikace v zajímavé úpravě na recyklovaném papíře v cizojazyčných mutacích: němčina – francouzština – ruština přiblíží prolínáním současných barevných leteckých snímků krajiny v konfrontaci s historickými foto z období 1918 - 2018  sto let Československé republiky a připomeneme vývojové kameny zdejšího regionu., Mementem doby pak bude širší pohled na jakýsi pomyslný střed tohoto prostoru. Koncentrační tábor Hradištko a cvičiště SS, jako připomínku počáteční snahu o likvidaci českého prostoru za 2. světové války… Jedná se o unikátní připomenutí našich dějin a jazykové mutace umožní prezentaci pro zahraniční návštěvníky ČR. Vhodné pro Informační centrum Středočeského kraje.  , Na soutoku Vltavy a Sázavy se nachází ostrov s benediktinským klášterem zvaným na Ostrově. Nad ním se na ostrohu mezi řekami nalézalo středověké městečko Sekanka. Dál nalezneme ves Hradištko s koncentračním táborem z 2. světové války. Ostroh svíraní Vltavou a Sázavou se pozvolna rozšiřuje přes Třebsín a Rakousy, kde Keltové těžilo zlato až ke křižovatce keltských cest u Krňan. Dolů k Sázavě je to Kamenný přívoz s populárním spisovatelem Posázaví Janem Morávkem a dál s Lešany s národním básníkem Františkem Hrubínem na druhou stranu k Teletínu s kopcem Chlistov, kde na pronajatém statku začat Rudolf Strimpl pěstovat první velkoplodé jahody v Čechách. Nebo zde můžeme s protějšího vrchu Máj shlížet do nádherných meandrů zatopené Vltavy. Dál je na obzoru Vysoký Újezd se středověkým kostelíkem Narození Panny Marie. Pod ním ves Nedvězí, středověká tvrziště a cestou přes Rabyni sejít ke Slapům k středověkému brodu, kdes stojí Slapská přehrada. Po proudu dolů byly Svatojánské proudy s prvními osadami trampů jako 20. míle, Ztracenka. To vše zatopila Štěchovická přehradní nádrž s přehradou dostavěnou za 2. světové války. , Několik čtverečních kilometrů, kde je na každém metru stopa české státnosti a historie lidských rodů zrcadlící dějiny Čech. Krajinu zachytí letecké snímky s doplněním černobílých historických fotografií. Obrazový záznam ponese data obrazového záznamu a bude i pro budoucno dokladem současného stavu krajiny, kterou budoucnost po výstavbě dálnice D3, Pražského okruhu a tím přiblížení hlavního města značně promění. , Václav Šmerák, autor projektu, Mezi řekami, z.s., Realizace : , Leden – květen 2018 – letecké fotografování , 24. března ukázka chystané publikace v kostele Narození Panny Marie ve Vysokém Újezdu, spojeno s úklidem půdy kostela a koncertem. , Červen – červenec 2018 – grafické a textové zpracování, 28. října 2018 křest publikace spolu s výstavou leteckých fotografií  regionu Jirouška Nebeského. Spojeno s koncertem ve Vysokém Újezdu  , ","neschváleno RK","170000","60000","","35.29411765"
"Činnosti nebo aktivity v oblasti kultury","2018","FHT/PHT/035403/2018","Slavnostní setkání královských přemyslovských měst - Praha 17.5.-6.6.2018 - arcibiskupský palác,Strahovský klášter,chrám Sv.Víta,Vojtěcha a Václava","Organizované setkání královských přemyslovských měst v Praze -arcibiskupský palác, doplněné o  výstavy ""Česká státnost"" a ""Král,rytíř,zakladatel Přemysl Otakar II.ve Strahovském klášteře v Praze a následně v Senátu ČR,Litovli,Hlučíně,Městci Králové,v Příboru, Písku a dalších v rámci Dnů české státnosti ke 100.výročí založení samostatné ČR","neschváleno RK","600000","9000","","1.5"
"Pořízení vybavení pro sociální, kulturní, sportovní a vzdělávací aktivity","2018","FHT/PHT/035365/2018","Pořízení židlí na dětská divadelní představení","Náš spolek organizuje 10 představení pro děti ročně. Židle, které máme k dispozici jsou ve špatném stavu. Jejich výroba je odhadována na rok 1970. Jejich životnost je již u konce a stav některých je pro děti opravdu zdravotně nevyhovující (natrhané potahy, vyčnívacící hřebíčky, ulomené či nalomené části). Žádáme o uhrazení nákladů s tímto spjatých, tedy pořízení sedacího nábytku 40 ks. Cena jedné činí 300 Kč.","neschváleno RK","12000","10000","","83.33333333"
"Rekonstrukce majetku v souvislosti se sociální, kulturní, sportovní a vzdělávací činností","2018","FHT/PHT/035369/2018","Oprava tenisových dvorců – Tenis Klub Bouchalka","Tenisový klub Bouchalka už dlouhodobě poskytuje tenisové zázemí svým 40 členům. Pro zkvalitnění využívaných prostor bychom rádi požádali o finanční dotaci na zrekonstruování dvou tenisových dvorců včetně zařizovacích předmětů jako je oplocení a odvodňovací žlábky. , Na začátku projektu bude odstraněno stávající oplocení z pletiva, které už nevyhovuje bezpečnostním podmínkám, a bude nahrazeno novým oplocením z drátěného pletiva. Pro odstranění problémů s odvodněním kurtů, budou provedeny odvodňovací žlábky včetně zabetonování s umělohmotnou mřížkou. Pomocí těchto odvodňovacích kanálků budeme moci využívat kurty v plném zatížení. V další části projektu bude provedena výměna antukového povrchu hřiště, který je už zastaralý a poškozený. Na spodní podkladovou vrstvu bude použita drenážní vrstva, která bude pod antukou přesně vyrovnána a vyspádovaná. Následně se vytvoří třívrstvá antuková deska ve vrstvě 1,5 až 2 cm pomocí kropení, síťování a válcování. Vrstvením antuky se dosáhne absolutně rovného povrchu dvorce. Na dvorce bude použita červená antuka, která patří mezi nejpoužívanější v České republice. Červená antuka je nejpomalejší tenisový povrch, který má výborný hydroskopický vlastnosti, pórovitost a velmi dobře propouští dešťovou vodu. Pomocí této antuky se na dvorcích netvoří louže. Poslední částí projektu je položení umělých tenisových lajn, které přesně vymezují rozměry tenisového hřiště, a navíc se po každém zápase nemusí dvorec lajnovat vápnem, což umožňuje využití kurtů efektivněji. , Cílem našeho projektu je celková rekonstrukce dvou tenisových dvorců včetně zařizovacích předmětů, tak aby vyhovoval jak bezpečnostním pravidlům, tak i našim členům klubu. Díky rekonstrukci ulehčíme přípravu hřiště před hraním a během tréninků. Tenisové dvorce, tak budeme moci využívat mnohem efektivněji. Účelem této rekonstrukce je zkvalitnění podmínek k tréninku našich členů. Zároveň urychlení úprav hřiště umožňuje zkrácení časových intervalů mezi hráči. Dalším velmi důležitým účelem projektu je bezpečnost našich hráčů. Díky antukovému povrchu a kvalitnímu odtoku vody z hřiště předejdeme zranění z uklouznutí. , Největším přínosem tohoto projektu je kvalitní a bezpečné zázemí pro naše děti v klubu, které tenisové dvorce používají v pravidelných intervalech. Nejen ze zdravotního hlediska, kdy jim nebude hrozit zranění z důvodu nekvalitního a klouzavého povrchu, ale i zkvalitněním podmínek jejich tréninku. Dalším přínosem pro klub bude kvalitní zázemí podporující akvizici nových členů, zejména z řad dětí a mládeže, jejichž rodiče požadují odpovídající zázemí. Očekáváme tak zvýšení počtu mládežníků v našem klubu. Dalším přínosem bude menší nákladovost na opravy a větší spolehlivost. , Primárními cílovými skupinami jsou všichni členové klubu, sekundárními pak všichni soupeři navštěvující naše hřiště. Dále pak místní občané využívající tenisové dvorce v jejich volném čase., Důvodem pro podání žádosti o dotaci je nedostatek vlastních finančních prostředků klubu na realizaci akce. Náš klub získává prostředky od sponzorů a členských příspěvků. Většinu získaných finančních prostředků však vynaložíme na provozní náklady klubu jako je údržba hřiště, sportovní vybavení a drobné opravy majetku. Jsme připraveni akci spolufinancovat a zajistit odpovídající následnou údržbu zhodnoceného majetku. ","neschváleno RK","194967","155000","","79.50063344"
"Činnosti nebo aktivity v oblasti sociální","2018","FHT/PHT/035722/2018","Osobní asistence","Osobní asistence je terénní služba poskytovaná osobám, které mají sníženou soběstačnost z důvodu věku, chronického onemocnění nebo zdravotního postižení jejichž situace vyžaduje pomoc jiné fyzické osoby. Služba se poskytuje nepřetržitě včetně sobot, nedělí a svátků v domácnostech osob. Posláním služby je zachovat seniorům a zdravotně postiženým občanům pocit vlastní hodnoty a důstojnosti, zlepšovat jejich soběstačnost a zachovávat a dle individuálních možností i rozvíjet psychické i fyzické schopnosti. Chceme tím také ulehčit rodinným příslušníkům, kteří o své blízké osoby pečují. Služba je tedy zajišťována přímo v domácnostech uživatelů vždy v rozsahu několika hodin v průběhu dne s ohledem na individuální potřeby uživatele a jeho zdravotní stav. Důraz klademe na kvalitu a komplexnost poskytovaných úkonů a v neposlední řadě na komunikaci a podporu uživatele a tím pozitivní působení na jeho psychiku. Naší snahou je také pomáhat uživatelům žít co nejplnohodnotnější život, tj. podporujeme uživatele v návratu do společnosti (např. pomáháme jim obnovit kontakty se vzdálenou rodinou, s dřívějšími přáteli, zájem o veřejné dění, o jejich bývalé koníčky apod.).","neschváleno RK","1852200","140000","","7.55857899"
"Činnosti nebo aktivity v oblasti sportu a tělovýchovy","2018","FHT/PHT/035378/2018","Havarijní opravy osvětlení tréninkové plochy UMT, mantinelů, přístupu na plochu, oplocení a zajištění solení plochy v zimním období","Havarijní opravy budou zajištěny průběžně během roku dodavatelsky. Solení plochy se bude provádět dodavatelsky v zimních měsících 2018 dle počasí. ","neschváleno RK","30000","28500","","95"
"Činnosti nebo aktivity v oblasti výchovy a vzdělávání","2018","FHT/PHT/035382/2018","Světový týden respektu porodu v Příbrami 2018","Festival Světového týdne respektu k porodu v Příbrami proběhl již třikrát, v prvním roce šlo pouze o setkání, maminek a jejich večerní diskuzi, ale v posledních dvou letech jsme uspořádali několikadenní festival plný přednášek o těhotenství a mateřství. Festival vznikl za spolupráce s RC Poupátko při Společnosti Waldorfské školy Příbram, z.s., , Festivalu se zúčastnili i zástupci příbramské porodnice a atmosféra byla vždy skvělá., Ze zkušenosti z minulých let víme, že bez finanční podpory se neobejdeme, proto bychom rádi, požádali Středočeský kraj o dotaci., Cílovou skupinou jsou těhotné ženy a maminky, jejich manželé či partneři a další rodinní příslušníci., Cílem je podpořit setkávání těhotných žen a maminek s miminky za účelem předávání a sdílení, informací, zkušeností a pocitů., , Harmonogram Světového týdne respektu k porodu v Příbrami 2018, Festival proběhne 15. – 17. května 2018 v Čajovně na Zemi. Přednášky proběhnou zejména, v odpoledních a večerních hodinách., , Témata přednášek:,  Příbramská porodnice,  Vázání miminek do šátku,  Kojení,  Očkování,  Bonding a šestinedělí,  Přednáška na ženské téma ","neschváleno RK","20000","16000","","80"
"Činnosti nebo aktivity v oblasti sportu a tělovýchovy","2018","FHT/PHT/035892/2018","Analýza a zlepšení fotbalových dovedností mladých fotbalistů","V rámci naší žádosti bychom rádi požádali o finanční příspěvek na projekt analýzy a zlepšení fotbalových dovedností mladých fotbalistů. Tento projekt proběhne 20. a 21. června 2018 v areálu SK Spartak Příbram. Projektu se zúčastní 180 dětí a mládeže z SK Spartak Příbram ve věku od 6 do 17 let. , , Během těchto dvou dnů si děti vyzkouší 6 různých testů fyzických zdatností klíčových pro fotbal. Děti budou mít šanci si ověřit jejich rychlost, výbušnost, aerobní kapacity, silovou vytrvalost, koordinaci a hbitost. Dále si vyzkouší čtyři testy na nejdůležitější technické fotbalové dovednosti, kterými jsou vedení a ovládání míče v běhu, kontrola míče, přesnost přihrávek v běhu a přesnost střelby v běhu. , Celý program realizují kvalifikovaní trenéři PFA s vlastním vybavením, které zaručuje objektivní výsledky. , , Na základě získaných výsledků z jednotlivých testů, děti, ale i jejich trenéři získají informace o silných a slabých stránkách jednotlivých hráčů fotbalu, o jejich fyzických schopnostech a technických dovednostech. Mladým fotbalistům tyto výsledky přinesou informace, ve kterých oblastech se mohou ještě zlepšovat. Trenérům tyto objektivní výsledky pomohou v lepší přípravě individuálních tréninkových plánů pro jednotlivé hráče, zefektivnění tréninkových procesů a metod. Následně jim tyto výsledky pomohou dosáhnout lepších výsledků ve fotbalových soutěžích. , , Ve čtvrtek 21.6. proběhne autogramiáda s Tomášem Ujfalušim, bývalým hráčem Atletica Madrid, Fiorentiny Galatasaray a kapitánem ČR. Po oba dva dny bude zajištěno pro děti občerstvení a pitný režim. , , Naším cílem je poskytnout dětem, ale i jejich trenérům objektivní informace o jejich fyzické a technické zdatnosti. Děti namotivovat ještě k lepším výsledkům a získat možnost trénovat pod vedením zkušených trenérů. , , Propagaci Středočeského kraje, jako hlavního sponzora této akce, uveřejníme na našich internetových stránkách a dále během dne vyvěšením loga Středočeského kraje na veřejně dostupných místech v areálu SK Spartak Příbram. ","neschváleno RK","238000","88000","","36.97478992"
"Činnosti nebo aktivity v oblasti sportu a tělovýchovy","2018","FHT/PHT/035901/2018","Speciální atletická příprava talentované mládeže","Cyklus tréninkové přípravy talentované mládeže zaměřený na rozvíjení dovedností v běžeckých disciplinách a účast trenérské skupiny na závodech.","neschváleno RK","55000","50000","","90.90909091"
"Činnosti nebo aktivity v oblasti sportu a tělovýchovy","2018","FHT/PHT/035410/2018","Tenisová Extraliga 2018","Pořádání tenisové Extraligy 2018 v tenisovém areálu Oáza Říčany, jedná se o nejvyšší soutěž smíšených družstev v tenise. Zúčastní se jí 8 nejlepších klubů v České republice. Za každý tým nastupují 4 muži a 2 ženy. V loňském roce se této soutěže zúčastnili kromě vynikajících zahraničních hráčů i všichni čeští reprezentanti jako např. Berdych, Veselý, Kvitová, Plíšková, Šafářová, Strýcová, Siniaková a další. Je zde možnost prezentace středočeského kraje i hejtmana středočeského kraje. Finále by měla vysílat televize v přímém přenosu.","neschváleno RK","1000000","200000","","20"
"Činnosti nebo aktivity v oblasti sportu a tělovýchovy","2018","FHT/PHT/035423/2018","2. ročník Velikonočního turnaje kategorie U14","Po loňském vydařeném 1. ročníku Velikonočního turnaje v basketbale kategorie U14, uspořádáme o letošních velikonocích 2. ročník tohoto, věřím v budoucnu tradičního turnaje. Turnaje se letos bude účastnit 5 družstev, které se ve dvou dnech utkají v systému každý s každým. Družstva budou v Nymburce i nocovat a budou mít zajištěné i stravování. Turnaje se účastní kluby hrající nejvyšší soutěž v dané kategorii U14 a turnaj má velmi dobrou úroveň. Zároveň slouží k navázání nových přátelství a k setkání a předání zkušenosti trenérů. Finanční podpora nám pomůže zajistit odpovídajíci kvalitu turnaje.","neschváleno RK","61000","51000","","83.60655738"
"Činnosti nebo aktivity v oblasti sportu a tělovýchovy","2018","FHT/PHT/035435/2018","Nová výsledková tabule pro HC Rakovník","Sportovní klub HC Rakovník z.s. byl založen v roce 1932., Postupem času se rozvíjel až do dnešní podoby. V průběhu své bohaté historie, se několikrát přejmenoval a má mnoho výborných sportovních výsledků., , Filozofií klubu posledních let je především výchova a sportovní rozvoj, nejmladších členů a to na té nejvyšší možné úrovni., Před třemi roky se nám povedlo založit oddíl krasobruslení a tak mimo, malých hokejistů vychováváme i malé krasobruslaře a krasobruslařky., Snažíme se vytvořit pro naše členy důstojné zázemí a  tu nejlepší a hlavně odbornou trenérskou péči. Všichni trenéři se pravidelně vzdělávají a zdokonalují na seminářích pořádaných hokejovým a krasobruslařským svazem. Případným novým zájemcům umožníme vystudování trenérské licence., , Klub HC Rakovník má zimní stadion v dlouhodobém pronájmu a díky dobré spolupráci s městem Rakovník se daří stadion postupně modernizovat. V tomto procesu modernizace je potřeba vyměnit stávající zastaralou a pro dnešní hokej nevyhovující výsledkovou  tabuli za novou a moderní. Všechny naše oddíly hrají krajské soutěže pořádané ČSLH , oddíl krasobruslení bude pořádat závody a v letních měsících se na stadionu hraje in-line hokej. Pro všechny tyto sporty by nová výsledková tabule byla velkým přínosem., , Protože z vlastních zdrojů nedokáže klub HC Rakovník tuto akci financovat, , rozhodl se požádat touto formou o dotaci a v případě jejího získání je samozřejmostí všude tuto informaci zveřejnit., , , , ","neschváleno RK","298170","200000","","67.07582922"
"Činnosti nebo aktivity v oblasti životního prostředí ","2018","FHT/PHT/035436/2018","osvětová kampaň k problematice množíren","Tvorba, tisk a distribuce informačního materiálu, který bude názorně přibližovat praktiky (popisy skutečných příběhů, fiktivních inzerátů) nelegálních chovatelů a překupníků psů. Distribuce ve veřejných dopravních prostředcích ","neschváleno RK","170000","50000","","29.41176471"
"Rekonstrukce majetku v souvislosti se sociální, kulturní, sportovní a vzdělávací činností","2018","FHT/PHT/035448/2018","Oprava střech spojovacích chodeb v Základní škole Kvílice","Cílem akce je provedení oprav dvou spojovacích chodeb, nacházejících se v budově Základní školy Kvílice. Jednat se bude o tyto objekty:, , 1.	Chodba I., 2.	Chodba II., U obou objektů se jedná o plochou střechu, jejíž stávající krytiny tvoří natavené asfaltové pásy s posypem břidlicí. Stav asfaltových pásů je již nevyhovující, tvoří se na nich boule, vrásnění a praskliny a vlivem toho do objektů velmi zatéká. V souvislosti s opravou není nutné provádět celoplošnou demontáž stávajících asfaltových pásů; navrhujeme jejich očištění a následný nástřik tvrdou PUR pěnou, a to přímo na povrch stávajících krytin. Odvod vody bude řešen vyspádováním podkladní konstrukce k střešním vpustem, kde doporučujeme osadit novou vložku z měděného plechu. , Technologicky se tedy bude u obou objektů provádět nástřik PUR pěny se silikonovou UV vrstvou dvojnásobnou, která zajistí vodotěsnost a zároveň tepelnou izolaci.  Hlavní výhodou této technologie je, že zaručuje nenasákavost tepelně-izolační vrstvy. Dále zaručuje dokonalou adhezi tepelné a hydroizolační vrstvy ke konstrukci, zaručuje také minimální statické zatížení konstrukce, vytváří dokonalou bezesparou a pochůznou hydro-izolační a tepelně izolační vrstvu bez tepelných mostů. , Opravou se zabrání zatékání do objektů chodeb, nebudou tak vznikat další škody na majetku typu praskání podlah, vzniku plísní na stěnách, opadávání omítek apod.","neschváleno RK","576819","200000","","34.67292166"
"Činnosti nebo aktivity v oblasti kultury","2018","FHT/PHT/035451/2018","Festival na ROHU aneb, co je České je dobré.","Letos oslavíme 100 let od Založení Republiky., 28.9.-29.9. 2018, Navazujeme na první ročník, který se uskutečnil 29.9.-30.9. 2017 , k příležitosti Dne české státnosti jsme zahájili tradici všestranného kulturního festivalu na zámku, jenž propojuje umění a historii, divadlo a architekturu, hudbu a místní zvyky. , Na návštěvníky čeká bohatý kulturní program a rodinná atmosféra. Nejdůležitější podstata celého festivalu je, že je oslavou České a výhradně České kultury, kulturního dědictví a umění venkova (místa kde žijeme)., , Pro tento 2. ročník a výjimečné 100 výročí jsme si vybrali TVÁŘ Festivalu a vzácným hostem festivalu bude vážený umělec Josef Dvořák. Chtěli jsme pozvat někoho, koho mají lidi opravdu rádi a vytvoříme pro tuto příležitost Křeslo pro hosta v Kamenném sále zámku., Festival odstartuje a zahájí s celou parádou samotný T.G.Masaryk s vojenským doprovodem a slavnostními salvami a samozřejmě Česká kapela roztančí celou zahradu zámku., Dále se otevřou dveře zámku a celý umělecký program. Program bude bohatější a pestřejší než minulý rok. Všichni, co se účastnili minulý rok, a kteří potěšili diváky již na programu pracují. Například seskupení zpěvaček z Rožďalovic, které nás potěšily písněmi ze Semaforu již nyní připravují nové pásmo českých písní.  , , Festival Na ROHU si klade již druhým rokem tyto cíle:, , 1) oživit historicky zajímavé místo k příležitosti Dne České státnosti (představení se odehrají přímo v kulisách zámku venku i uvnitř), 2) nabídnout místním kulturní vyžití s cílem zaujmout všechny generace, od dětí po seniory , tzv: interaktivně v táhnout diváky do děje, do diskuzí, do tance, zábavy i zamyšlení, aby se cítili náležet k místu a dění, 3) poukázat na historické mezníky našeho národa a státu skrze živé umění, 4) uměleckou formou zdůraznit potřebu spolupráce, sounáležitosti a vzájemné podpory , 5) zahájit tradici všestranného festivalu na zámku, jenž propojuje umění a historii, divadlo a architekturu, hudbu a místní zvyky , , Stejně jako první rok se o realizaci festivalu podílí Spolek Budil  www.budil.cz, který již 4 rokem , se podílí o kulturní vyžití, ale nejen ve smyslu estetickém či zábavném. Kulturu především vnímá , jako prostředek k oživování historie místa (viz. projekt Živá kronika/ podpořeno Nadací Via 2016) , a tím k propojování místních, rodáků i novousedlíků. Festivalu se účastní a pomáhají naši studenti., Spolek Budil již 5 rokem spolupracuje s FysioART o.p.s. (umění s přesahem) www.fysioart.cz, podtrhuje potřebu dialogu a to, že místo, kde žijeme, může být místem milým, , příjemným-místem s duší. , Kulturu, umění, formy divadla zde vnímáme jako prostředek k tomu, aby i ten každodenní život se nestal rutinou, ale životem s jeho radostmi i strastmi. Díky umění poukazujeme na jevy a věci, jichž si v denním běžném ""provozu již nevšímáme, nebo je nestíháme vnímat. Stejně zásadně vnímáme divadlo pro nejmenší diváky, pro které je divadlo světem podpory jejich fantazie. Divadlo dětem nabízí pochopení světa skrze srozumitelnou metaforu, komunikaci hrou a radost z prožitku., Dále zveme ke spolupráci místní autory, divadelní a jiné spolky, zpěváky, kapely, malíře, sochaře a vše, co kraj kolem nás zajímavého nabízí a všechny kdo se chtějí zapojit. , , Festival na ROHU je jakousi kulturní přehlídkou a vizitkou České kultury., Křinecký zámek jsme si vybrali pro jeho strategické umístění., , Napsali o nás:, O prvním ročníku lze bez okolků prohlásit, že se podařil. Nabídl dobovou přehlídku, swingovou tančírnu s Annou Polívkovou a Michalem Kurtišem, originální divadelní inscenace, spoustu literatury a hudby, prohlídky zámku s majitelem, pro děti divadelní pohádku, tvoření z kartonových krabic, jízdu na oslíkovi. Návštěvníci, včetně Venduliny maminky herečky Evelýny Steimarové, si to užívali., Více na www.nymbursky.denik.cz., , ","neschváleno RK","271000","150000","","55.35055351"
"Činnosti nebo aktivity v oblasti sportu a tělovýchovy","2018","FHT/PHT/035453/2018","Eleven půlmaraton Český ráj","Jedná se o jednodenní běžeckou akci. Ráno probíhá registrace, dopoledne dětské závody. Start hlavního závodu je ve 12 hodin. Start i cíl se odehrává v kempu Peklo u Komárovského rybníka v Branžeži. Na své si přijdou špičkový běžci, široká veřejnost i děti.Trasa má 21 km a vede krásnou přírodou Českého ráje, jedinečná příležitost mít na dohled zříceninu hradu Trosky a běžet přímo skrz nádvoří hradu Kost. Po celé trase závodu jsou rozmístěni regulovčíci, na trati máme několik občerstvovacích stanic a dobrovolníků v reflexních vestách, kteří budou na místech, kde závodníci probíhají silnici.  Každý závodník v cíli obdrží medaili a občerstvení. Po doběhu všech závodníků probíhá vyhlášení výsledků. Po závodě následuje úklid celé trasy a centra závodu. ","neschváleno RK","350000","25000","","7.14285714"
"Činnosti nebo aktivity v oblasti výchovy a vzdělávání","2018","FHT/PHT/035557/2018","Made in Czechoslovakia","Tématické oslavy Dne dětí náš spolek tradičně využívá k tomu, aby dětem přiblížil a rodičům připomenul některé z důležitých výročí Česka. A letošní rok je k tomu obzvláště příhodný. Informací o politickém zákulisí vzniku samostatného Československa se v médiích objeví jistě dostatek, proto bychom se rádi zaměřili na hmatatelné výsledky, resp. výrobky a projekty, které přispěly k utváření k české národní hrdosti a vlastenectví a dodnes jsou jejich dobrým důvodem. Prostřednictvím edukativně - zábavného programu chceme dětem přiblížit kvalitní české firmy a značky, seznámit je s jejich světoznámými výrobky. V návaznosti na zábavní odpoledne bude pro děti a jejich rodiče uspořádána společná exkurze do „masarykovské“obce Lány. , , I. část projektu: „Lvíčkovy narozeniny“ - oslava Dne dětí v Hulicích – 9. 6. 2018, Den dětí plánujeme pojmout jako oslavu 100. narozenin československého lvíčka. Zábavní dětské odpoledne v Hulicích bude zaměřeno na získání či upevnění elementárních znalostí o některých významných osobnostech a československých značkách a firmách, vzniklých či vrcholně prosperujících v letech mezi válkami. Formou soutěží a práce ve výtvarných dílničkách poznají děti průmyslové výrobky a umělecké projekty, které dobyly svět – auta a autobusy, motorky, lokomotivy, obuv, sklo, cukrovinky, knihy, obrazy atd. , Pro rodiče a prarodiče připravíme test znalostí týkající se jak techniky, tak i sféry vědy a umění. Účelem není účastníky akce zkoušet, ale spíše jim zábavnou formou rozšířit povědomí o době vzniku samostatné ČSR. Cílem akce je nabídnout dětem zážitek z aktivně prožitého odpoledne a zábavnou i soutěžní formou je seznámit s osobnostmi a produkty, na které naši občané byli a jsou právem hrdi.   , , Popis II. části projektu: „Prezidentské putování“ – exkurze do obce Lány – 29. 9. 2018  , Druhá část projektu spočívá v exkurzi rodičů a dětí z Hulic a okolních obcí do Lán. V návaznosti na téma průmyslu se nabízí návštěva místního Muzea sportovních automobilů, ústředním motivem však bude exkurze do Muzea T. G. Masaryka. Zdejší expozice přiblíží návštěvníkům osobnost prvního československého prezidenta i některé zásadní okolnosti týkající se osamostatnění a vzniku republiky. Naplánovaná je také krátká návštěva zámeckého parku a Masarykova hrobu na místním hřbitově., , Cílem projektu je přispět k povědomí dětí o průmyslovém dědictví a kulturním potenciálu doby první Československé republiky. Našimi ambicemi je přivést účastníky projektu k uvědomění si národní hrdosti a vlastenectví a všem věkovým skupinám připomenout, že 28. říjen je největším státním svátkem a neměl by nám nikdy zevšednět., ","neschváleno RK","22500","20250","","90"
"Činnosti nebo aktivity v oblasti kultury","2018","FHT/PHT/035466/2018","Noc kostelů 2018","Noc kostelů je ekumenickou akcí, jež v květnu znovu otevře dveře sakrálních památek po celé ČR. Cílem akce je umožnit veřejnosti seznámení se s unikátním kulturním dědictvím a křesťanstvím. Jednotlivé programy v rámci akce jsou organizovány obyvateli obcí, dobrovolníky apod., což podporuje jejich seznámení, propojení, spolupráci atd. Jde o kulturní akci s duchovním přesahem, která je koordinována a zaštítěna Biskupstvím litoměřickým (v rámci litoměřické diecéze), ale účastní se jí mnoho různých farností a sborů i ze Středočeského kraje. Akce je velmi významnou událostí každého roku. V roce 2017 se do akce v litoměřické diecézi oficiálně zapojilo 201 památek. ","neschváleno RK","145000","10000","","6.89655172"
